"no","number","id","context","sentence","intentionality","factivity","pictoriality","intentionality_z","factivity_z","pictoriality_z","sense","posterior_max"
48,51,"HGD","W_fict_prose","  I know.' Jenna nodded, her eyes on the field, trying to imagine it full of poppies and trying to keep her mind off Alain. It was",6.66666666666667,1.33333333333333,7,0.972393120356772,-1.39276053369541,2.20049750926087,2,0.999999999990899
49,52,"HGK","W_fict_prose","  spat.' What are you after all but a journalist? I expect you imagine you'll be a countess soon?' Maggie was stunned, but not for",1.66666666666667,1.66666666666667,1,-2.11770918424946,-1.18964728725226,-1.16384068799467,1,1
50,53,"HYD","S_tutorial","  seems to be er a very very deeply complicated er topic, so erm I imagine there are questions that you folks had. There were certainly questions that I had",1.33333333333333,5.66666666666667,1,-2.32371600455654,1.24771167006548,-1.16384068799467,1,1
51,54,"CES","W_biography","  I would have managed to get through without them, but it's hard to imagine how. On that morning I was giving them the latest news of Nigel.",5.33333333333333,2,1.66666666666667,0.148365839128444,-0.986534040809118,-0.790025332744057,2,0.999973403265974
52,55,"AHJ","W_newsp_brdsht_nat_commerce","  column will have concluded I have the same hang-up about finding the perfect house. Imagine my excitement, therefore, when it seemed recently that I might have stumbled across",5.66666666666667,6,2,0.354372659435527,1.45082491650862,-0.60311765511875,2,0.999999615248477
53,56,"AR8","W_non_ac_polit_law_edu","  foot out of the town and walk back to the rendezvous with Robin Gurdon. Imagine the scene: the Prime Minister's son, a Member of Parliament and the",7,5,5.66666666666667,1.17839994066385,0.841485177179189,1.45286679875963,2,0.999999999978131
54,57,"C8T","W_fict_prose","  he would any other. But why the hell should he? I can't imagine that a woman who's actually had an abortion wants to go through that again",5.66666666666667,2,1.5,0.354372659435527,-0.986534040809118,-0.883479171556711,2,0.999999320814351
55,58,"AN8","W_fict_prose","  made. Since there are some fifty thousand genes in each chromosome, you can imagine the difficulty inherent in recognizing differences in such microscopic structures. I can not possibly",5.33333333333333,6,1.5,0.148365839128444,1.45082491650862,-0.883479171556711,2,0.999992718340085
56,59,"A7C","W_biography","  , happily ensconced in a coterie, would ask along their doctors? Can we imagine a GP being made to feel welcome in the Bloomsbury set? But one also",5.33333333333333,2.33333333333333,3,0.148365839128444,-0.783420794365972,-0.0423946222428265,2,0.999950172444535
57,60,"CEP","W_newsp_other_sports","  as an accompaniment, are not confined to north London. It is difficult to imagine anything the shape of Stan Flashman as being the tip of an iceberg but that",6,1.66666666666667,5,0.560379479742608,-1.18964728725226,1.07905144350902,2,0.999999973566525
58,61,"FS8","W_fict_prose","  . What's more, you know that I don't. I can't imagine what it is you want.' as if he were telling the story to",6,6,1,0.560379479742608,1.45082491650862,-1.16384068799467,2,0.999999987936547
59,62,"FU1","W_non_ac_soc_science","  maybe I wouldn't. It's hard to say. But I can't imagine being without her, so I don't really regret it. "" # SCHOOL",6,2,2.66666666666667,0.560379479742608,-0.986534040809118,-0.229302299868134,2,0.999999934950794
60,63,"KPV","S_conv","  with (pause) as the-- there are in (pause) in Shakespeare. We can't really imagine ourselves (pause) you don't really have sympathy for any of the characters in the",6,1.5,3,0.560379479742608,-1.29120391047384,-0.0423946222428265,2,0.999999930594548
62,66,"B7K","W_non_ac_nat_science","  wholesale replacement of large groups of animals by others. It would be hard to imagine an accumulation of competitive encounters between individuals that led to the extinction of a whole",5.33333333333333,2,2,0.148365839128444,-0.986534040809118,-0.60311765511875,2,0.999965535837422
63,67,"HA5","W_fict_prose","  on your behalf, Grantham and Marsh will survive.'' You can't imagine how pleased that makes me feel, mus.' He raised his right hand",6,6.33333333333333,1,0.560379479742608,1.65393816295177,-1.16384068799467,2,0.999999989063096
64,68,"HAU","W_misc","  but my telephone call to the car rental company later that morning. You can imagine my reluctance to call as I didn't think that they would be too pleased",5.66666666666667,6,1.5,0.354372659435527,1.45082491650862,-0.883479171556711,2,0.999999725829475
65,69,"C9S","W_non_ac_soc_science","  a view to dispelling the myths that surround homosexuality. It is a mistake to imagine that resolutions passed at trade union conferences represent the most deeply held feelings of the",1.66666666666667,1.66666666666667,1,-2.11770918424946,-1.18964728725226,-1.16384068799467,1,1
66,70,"CEP","W_newsp_other_sports","  lines at Wembley. It was easy during a drab first hour at Ewood to imagine the likes of Roy Keane or Ian Durrant, not to mention Gazza, making",5.66666666666667,1.66666666666667,6,0.354372659435527,-1.18964728725226,1.63977447638494,2,0.999999798376735
67,71,"K4W","W_newsp_other_report","  Labour's Peter Mandelson dismissed the remarks and added:' It is impossible to imagine a housing market more depressed than it is under the present Tory government. #",6,1.66666666666667,3.66666666666667,0.560379479742608,-1.18964728725226,0.331420733007789,2,0.999999937064909
68,73,"CEW","W_biography","  his son during his engagement was later destroyed by Constanze, so we can only imagine the bitter accusations which must have passed back and forth between Salzburg and Vienna.",5.66666666666667,5.66666666666667,3,0.354372659435527,1.24771167006548,-0.0423946222428265,2,0.999999417797783
69,74,"FAJ","W_fict_prose","  . He hands me a brown manila file, and a handwritten invoice which I imagine he is giving to me now while the connection between the reams of faxes and",1.66666666666667,6,1,-2.11770918424946,1.45082491650862,-1.16384068799467,1,1
70,75,"G3P","W_misc","  (deleted:figure) Now it is time to fight the Minotaur! Look at the picture and imagine what happened in the fight. Work out the answers to these questions. #",7,5.33333333333333,5,1.17839994066385,1.04459842362233,1.07905144350902,2,0.999999999945028
71,76,"HHB","W_fict_prose","  first time on a horse, for Pete's sake. And please don't imagine that I haven't landed on my backside before today. It can happen to",2.33333333333333,1.66666666666667,4,-1.70569554363529,-1.18964728725226,0.518328410633096,1,1
72,77,"KBH","S_conv","  (SP:PS05B) No, not really. (SP:PS05E) Did you hear that noise? (SP:PS05J) Well imagine three pieces of felt one on top of the other (SP:PS05H) Are you pushing (unclear)",6.33333333333333,2.33333333333333,4.66666666666667,0.76638630004969,-0.783420794365972,0.892143765883712,2,0.999999997402929
73,78,"CDW","W_religion","  institutions are judged.' The simplest way to understand how catallaxy works is to imagine it to be a game. The Oxford English Dictionary defines a game as'",6.66666666666667,1.66666666666667,3,0.972393120356772,-1.18964728725226,-0.0423946222428265,2,0.999999999121899
74,79,"H49","S_meeting","  on King Street just to the left of the existing tree, if you can imagine that, and coming back across the marketplace (unclear) (SP:H49PSUNK) (cough) (SP:PS1XD) where the dropped",6.66666666666667,6.33333333333333,6.5,0.972393120356772,1.65393816295177,1.9201359928229,2,0.999999999986472
75,81,"H0F","W_fict_prose","  cousins you hadn't seen in years, bringing engagement presents. She tried to imagine what her own party would be like when (if) someone wanted to marry",6.66666666666667,1.33333333333333,5.66666666666667,0.972393120356772,-1.39276053369541,1.45286679875963,2,0.999999999896767
76,82,"CMK","W_misc","  going cold and hungry. Happily, the reality is far rosier than many people imagine. For a start, those retiring today are better off financially than any previous",2.66666666666667,1.5,1,-1.49968872332821,-1.29120391047384,-1.16384068799467,1,1
77,83,"H9M","W_commerce","  an illustration take the link between P t and its own past values,... Imagine that we regress the actual price index on its own past values: where the",6.66666666666667,2.33333333333333,1.66666666666667,0.972393120356772,-0.783420794365972,-0.790025332744057,2,0.999999999321946
78,84,"KBF","S_conv","  care whether a man's a bit boring. (SP:PS04U) Yes. Because I can imagine Paul being sort of a homely chap. (SP:PS04Y) He is. (SP:PS04U) If he gets",6.66666666666667,5.33333333333333,4,0.972393120356772,1.04459842362233,0.518328410633096,2,0.999999999514068
79,85,"CHA","W_pop_lore","  part of the mainstream and generally bringing the whole world down:' I could imagine Revolver being on Top Of The Pops, but I couldn't imagine David Bowie",4.66666666666667,3.66666666666667,2.33333333333333,-0.263647801485719,0.0290321914066084,-0.416209977493442,2,0.850084233610328
80,86,"GUK","W_fict_prose","  been sleepwalking again. Up and down she goes, talking gibberish. You can imagine what it reminds me of, it's terribly upsetting. But Madeleine won't",5.66666666666667,4,1.33333333333333,0.354372659435527,0.232145437849754,-0.976933010369365,2,0.999999578041324
81,87,"CRK","W_religion","  third and fourth sessions approved of texts and ideas that it would be hard to imagine would have appealed to many of the bishops before the Council began. This dynamic",5.33333333333333,2,1.5,0.148365839128444,-0.986534040809118,-0.883479171556711,2,0.999977130852436
82,88,"FA2","W_misc","  excursion, remember that others may be making it too; in summer I can imagine it becoming exceedingly crowded up here and the path to the Lac de Gaube an",4.66666666666667,5,5.66666666666667,-0.263647801485719,0.841485177179189,1.45286679875963,2,0.957909955943395
83,89,"A61","W_biography","  drew my fingers over my face, tenderly rubbing at the swellings and could well imagine what the scene looked like.' Piper, it's a bloody good job",6.33333333333333,5,6,0.76638630004969,0.841485177179189,1.63977447638494,2,0.999999999683927
85,91,"CJ3","W_non_ac_nat_science","  after the first and the female the second. It is not too difficult to imagine how this could slip quietly into polyandry: females could develop the habit of mating",5.66666666666667,2,2.33333333333333,0.354372659435527,-0.986534040809118,-0.416209977493442,2,0.999998822126187
87,93,"CET","W_non_ac_nat_science","  , and a single line around it in the shape of an ellipse. (Imagine a' squashed circle' with the Sun just off-centre.) However, the",7,2.33333333333333,7,1.17839994066385,-0.783420794365972,2.20049750926087,2,0.999999999998099
88,94,"KRM","S_brdcast_news","  Water, which Mr Dick is carrying out. That one will be completed I imagine within the next couple of weeks. The other one is in fact initiated by",1.33333333333333,5.66666666666667,1,-2.32371600455654,1.24771167006548,-1.16384068799467,1,1
89,96,"CHE","W_biography","  rock jutting out into the sea and with commanding views. It was easy to imagine that it might have been Camelot, like in the picture story-books I'd read",6,1.33333333333333,4.66666666666667,0.560379479742608,-1.39276053369541,0.892143765883712,2,0.999999963431981
90,97,"FEE","W_fict_prose","  came and said so far as she knew you were in hospital. You can imagine how that brightened my day. I croaked out, which hospital, but she",5.66666666666667,6.33333333333333,1.66666666666667,0.354372659435527,1.65393816295177,-0.790025332744057,2,0.999999724287762
91,98,"K74","S_speech_unscripted","  can just afford it, can we? Er, okay then Martin, I imagine as long as we keep our heads above water, then that'll be okay",1.66666666666667,4.66666666666667,1,-2.11770918424946,0.638371930736044,-1.16384068799467,1,1
92,99,"A95","W_newsp_brdsht_nat_report","  there are more people who can, perhaps for the first time since 1967, imagine that the Jews could go west, back into the green line, or into",6,1.33333333333333,2.33333333333333,0.560379479742608,-1.39276053369541,-0.416209977493442,2,0.999999939439132
93,101,"GV7","W_fict_prose","  people believe that there is a' Jekyll' and a' Hyde'in everybody. Imagine that there are two very different sides to your own character, and write a",6.66666666666667,2.66666666666667,3.66666666666667,0.972393120356772,-0.580307547922827,0.331420733007789,2,0.999999999252393
94,102,"HHM","W_misc","  question of how they got to Machynlleth in the first place. I can only imagine that shortly before the excursions a long double headed steam train must have travelled from",5.33333333333333,5.66666666666667,3.5,0.148365839128444,1.24771167006548,0.237966894195135,2,0.999982506577691
95,103,"FXT","S_brdcast_discussn","  I think I'm gon na treat you to lovely apricot cheesecake. Can you imagine the lovely er biscuit base, the cheesecake, and the apricots and cream all",6.33333333333333,6.33333333333333,6.33333333333333,0.76638630004969,1.65393816295177,1.82668215401025,2,0.999999999880009
96,104,"H8X","W_fict_prose","  It isn't suitable. There's no question of it.'' I imagine,' Alexandra said with difficulty, her swimming eyes still fixed on her plate",4.66666666666667,3.66666666666667,6,-0.263647801485719,0.0290321914066084,1.63977447638494,2,0.945272450511612
97,105,"CL2","W_biography","  ' thing' that was himself stand up to as many trials as he could imagine. It was like the course of trials which underline so many of the great",6,2,2,0.560379479742608,-0.986534040809118,-0.60311765511875,2,0.99999994925463
98,106,"HDT","S_speech_scripted","  also trying to move our football club er rather a difficult exercise, you can imagine. (SP:HDTPSUNK) (clapping) (SP:PS2FU) Anyone from Leicester here? Where are the Midlands? (pause)",5.33333333333333,6,1.5,0.148365839128444,1.45082491650862,-0.883479171556711,2,0.999992718340085
99,107,"FA8","W_commerce","  achieve the synergy necessary for certain processes to occur. As it is easy to imagine, these changes produced a whole new set of issues. It became necessary to",5.66666666666667,6.66666666666667,1,0.354372659435527,1.85705140939492,-1.16384068799467,2,0.999999865207084
100,108,"G39","W_biography","  Great-Uncle Isaac, who had a farm called Dummah Hill at North Stainmore. I imagine the family considered that my father would be better off living with him because of",2,4.66666666666667,1,-1.91170236394237,0.638371930736044,-1.16384068799467,1,1
101,109,"B28","W_non_ac_polit_law_edu","  not be as' coherent'' broad' and' balanced'as the curriculum planners imagine. To illustrate this one has only to look at the account of a pupil",2.5,2,1.5,-1.60269213348175,-0.986534040809118,-0.883479171556711,1,1
103,111,"FYB","S_interview_oral_history","  and drink. (SP:FYBPS004) Yes. (SP:PS25U) You know. Why not? (SP:FYBPSUNK) (unclear) imagine if the family is meeting round a table, and the dish is passed round",6.5,2,5.5,0.869389710203231,-0.986534040809118,1.35941295994698,2,0.999999999653357
104,112,"JNE","S_courtroom","  re-fitted and the automatic door opener was used (pause) to open the door. I imagine you stick to your account and it follows that his account is not right.",1.5,5.5,1.5,-2.220712594403,1.14615504684391,-0.883479171556711,1,1
105,113,"AR5","W_misc","  dogs are told and retold throughout the training clubs of Germany and as you can imagine, many German breeders want to get in on the act! The saddest story",6,6,3,0.560379479742608,1.45082491650862,-0.0423946222428265,2,0.999999968793144
107,115,"H98","W_fict_prose","  how? Why? Brampton may have been a quiet man but I can not imagine him allowing anyone to hustle him upstairs in a house full of people, tie",6,1.5,5,0.560379479742608,-1.29120391047384,1.07905144350902,2,0.999999973226231
110,118,"ANL","W_fict_prose","  lifted an accusatory finger.' It is very difficult, as you can well imagine, for a parent to exercise proper control over the friendships of a daughter who",5.5,5.5,1.5,0.251369249281986,1.14615504684391,-0.883479171556711,2,0.999998423462446
111,119,"ATE","W_fict_prose","  change we'll lose everything -- and we might never get it back. Just imagine now, my dear brethren, if the modernists had their way we'd be",6.5,2,2,0.869389710203231,-0.986534040809118,-0.60311765511875,2,0.999999998222444
113,121,"KCT","S_conv","  Can't I take them both? (SP:PS0FP) Take them both. (SP:PS0FS) I should imagine it's the shiny one but I don't (unclear)2. (SP:PS0FX) Why didn't you",2,4.5,2.5,-1.91170236394237,0.536815307514471,-0.322756138680788,1,1
114,122,"A70","W_pop_lore","  that interfering too much can prove to be very dangerous to a relationship.' Imagine how you would feel if you were on the receiving end of your criticism,",6.5,2,3,0.869389710203231,-0.986534040809118,-0.0423946222428265,2,0.999999997880472
115,123,"JYD","W_fict_prose","  Like that lion, its fierce eyes similar to Damian's. She could just imagine him closing in for the kill. The rest of the afternoon was tainted with",6.5,2.5,5.5,0.869389710203231,-0.6818641711444,1.35941295994698,2,0.999999999659875
116,124,"ABD","W_pop_lore","  antitrust laws or passing intricate rules on cross share-holdings. But it is difficult to imagine America's corporate leaders advocating a crackdown on executive wining-and-dining, even for the Japanese",6,2,1.5,0.560379479742608,-0.986534040809118,-0.883479171556711,2,0.999999963746286
117,125,"JY0","W_fict_prose","  golden-haired. Not unlike Sara Calvert, and almost as pretty.' You can imagine how good they looked together,' said Penny, smiling at Juliet.'",6.5,6,5.5,0.869389710203231,1.45082491650862,1.35941295994698,2,0.999999999807615
118,126,"K6T","S_interview_oral_history","  Yeah. (unclear) the the some of them made their own shrouds. (SP:PS5M6) I would imagine so. (SP:K6TPS000) Yeah. (SP:PS5M6) The shrouds (unclear) to be the suppliers you know",1.5,6,2.5,-2.220712594403,1.45082491650862,-0.322756138680788,1,1
119,127,"CKC","W_fict_prose","  would appear that this Adamantios Andropulos, who is Hawkins's temporary guest-I could well imagine that Admiral Hawkins would use the term' guest' even if this unfortunate were",6,2.5,2,0.560379479742608,-0.6818641711444,-0.60311765511875,2,0.999999950921953
120,128,"H9M","W_commerce","  level of real output are determined. # 4.3 AGGREGATE DEMAND AND EQUILIBRIUM OUTPUT # Imagine that an economy's aggregate demand curve is AD in figure 4.4 and that its",6.5,2.5,1.5,0.869389710203231,-0.6818641711444,-0.883479171556711,2,0.99999999863693
121,129,"J1G","W_email","  The attackers have got more experience, and probably quicker, but I can't imagine' Zico' has. Don't think he'd get much of a look-in",2,5,1.5,-1.91170236394237,0.841485177179189,-0.883479171556711,1,1
122,130,"K6Y","S_speech_unscripted","  I think everybody is. (SP:PS5N1) Sorry? (SP:PS5MU) I think everybody is. (SP:PS5N1) Yeah so imagine how you feel if you've got another two role plays to do and then",6.5,2,3,0.869389710203231,-0.986534040809118,-0.0423946222428265,2,0.999999997880472
123,131,"J1G","W_email","  for replacements as he is resigned to losing Bardsley... not necessarily to Leeds Id imagine. Oh, for those who do nt know... Jobson is a centre back",2,5,1.5,-1.91170236394237,0.841485177179189,-0.883479171556711,1,1
124,132,"AHN","W_newsp_brdsht_nat_misc","  we'll come back to this view through the window a little later. I imagine that shortly after Bill and Ricky have arrived, the other guests will start coming",2.5,3,3,-1.60269213348175,-0.377194301479682,-0.0423946222428265,1,1
125,133,"HGF","W_fict_prose","  gran. And then she felt bad, it could be so much worse, imagine, a father and family like most of the girls her age. Houses so",6,2,3,0.560379479742608,-0.986534040809118,-0.0423946222428265,2,0.999999932402497
126,134,"K73","S_courtroom","  of course erm under G of article three doesn't it? (pause) which I imagine, but you can tell me if I'm wrong Mr (-----) is the one",2,6,1.5,-1.91170236394237,1.45082491650862,-0.883479171556711,1,1
127,135,"HE2","S_lect_humanities_arts","  somebody's personality, personality assassination by, by er a psychoanalysis. You could imagine what it's like. I mean, erm, if you didn't know",6.5,2,2.5,0.869389710203231,-0.986534040809118,-0.322756138680788,2,0.999999997930065
128,136,"JJ7","S_unclassified","  's the problem. (SP:PS446) Well get somebody in, (SP:PS449) (unclear) (SP:PS446) Somebody who imagine they don't like it, Clare, in fact, you know. (SP:JJ7PSUNK)",3,4,1.5,-1.29368190302113,0.232145437849754,-0.883479171556711,1,0.999999999999763
129,137,"G02","W_fict_prose","  my eyes had made more sense of the place. While waiting I tried to imagine what she might have been thinking. For certain she would be hungry, like",6.5,3,2.5,0.869389710203231,-0.377194301479682,-0.322756138680788,2,0.999999997934252
